"title","year","doi","openalex","cited_by_count","query_hits","matched_queries"
"LLMs in Cyber Security: Bridging Practice and Education","2025","https://doi.org/10.3390/bdcc9070184","https://openalex.org/W4412100992","20","6","LLM APT provenance graph | LLM CTI entity relation extraction STIX | LLM grounded cyber threat intelligence source attribution | LLM provenance graph construction from logs | LLM security log parsing semantic normalization | LLM threat hunting provenance graph action planning"
"AI-Augmented SOC: A Survey of LLMs and Agents for Security Automation","2025","https://doi.org/10.3390/jcp5040095","https://openalex.org/W4415932290","19","5","AttackKG cyber threat intelligence knowledge graph | LLM APT provenance graph | LLM provenance graph construction from logs | LLM telemetry knowledge graph cybersecurity | LLM threat hunting provenance graph action planning"
"LLMs for Cybersecurity in the Big Data Era: A Comprehensive Review of Applications, Challenges, and Future Directions","2025","https://doi.org/10.3390/info16110957","https://openalex.org/W4415872256","13","5","LLM APT provenance graph | LLM provenance graph construction from logs | LLM telemetry knowledge graph cybersecurity | LLM threat hunting provenance graph action planning | SEVENLLM cyber threat intelligence"
"CTI-Thinker: an LLM-driven system for CTI knowledge graph construction and attack reasoning","2026","https://doi.org/10.1186/s42400-025-00505-y","https://openalex.org/W7124423884","5","5","LLM APT provenance graph | LLM CTI entity relation extraction STIX | LLM provenance graph construction from logs | LLM threat hunting provenance graph action planning | SEVENLLM cyber threat intelligence"
"Weighted quality criteria for cyber threat intelligence: assessment and prioritisation in the MISP data model","2025","https://doi.org/10.1007/s10207-025-01080-6","https://openalex.org/W4411460631","7","4","LLM CTI entity relation extraction STIX | LLM grounded cyber threat intelligence source attribution | LLM threat hunting provenance graph action planning | SEVENLLM cyber threat intelligence"
"Cyber Threat Intelligence Mining for Proactive Cybersecurity Defense: A Survey and New Perspectives","2023","https://doi.org/10.1109/comst.2023.3273282","https://openalex.org/W4375787811","262","3","large language model attack graph cybersecurity | large language model cyber threat intelligence knowledge graph | large language model provenance graph cybersecurity"
"Large language models empowered agent-based modeling and simulation: a survey and perspectives","2024","https://doi.org/10.1057/s41599-024-03611-3","https://openalex.org/W4402901320","208","3","large language model attack graph cybersecurity | large language model cyber threat intelligence knowledge graph | LLM grounded cyber threat intelligence source attribution"
"Large Language Models in Cybersecurity: A Survey of Applications, Vulnerabilities, and Defense Techniques","2025","https://doi.org/10.3390/ai6090216","https://openalex.org/W4414013482","35","3","large language model provenance graph cybersecurity | LLM APT provenance graph | SEVENLLM cyber threat intelligence"
"Advanced Persistent Threats Based on Supply Chain Vulnerabilities: Challenges, Solutions, and Future Directions","2025","https://doi.org/10.1109/jiot.2025.3528744","https://openalex.org/W4406322016","19","3","LLM APT provenance graph | LLM CTI entity relation extraction STIX | LLM threat hunting provenance graph action planning"
"SC-LKM: A Semantic Chunking and Large Language Model-Based Cybersecurity Knowledge Graph Construction Method","2025","https://doi.org/10.3390/electronics14142878","https://openalex.org/W4412873150","5","3","AttackKG cyber threat intelligence knowledge graph | large language model provenance graph cybersecurity | LLM APT provenance graph"
"MultiKG: Multi-Source Threat Intelligence Aggregation for High-Quality Knowledge Graph Representation of Attack Techniques","2024","https://doi.org/10.48550/arxiv.2411.08359","https://openalex.org/W4404407327","3","3","LLM APT provenance graph | LLM CTI entity relation extraction STIX | LLM threat hunting provenance graph action planning"
"Explainable Artificial Intelligence (XAI): Concepts, taxonomies, opportunities and challenges toward responsible AI","2019","https://doi.org/10.1016/j.inffus.2019.12.012","https://openalex.org/W2981731882","9218","2","large language model cyber threat intelligence knowledge graph | large language model security logs graph"
"Digital Twin: Values, Challenges and Enablers From a Modeling Perspective","2020","https://doi.org/10.1109/access.2020.2970143","https://openalex.org/W3003667836","1743","2","large language model attack graph cybersecurity | large language model cyber threat intelligence knowledge graph"
"A Review on Large Language Models: Architectures, Applications, Taxonomies, Open Issues and Challenges","2024","https://doi.org/10.1109/access.2024.3365742","https://openalex.org/W4391855109","725","2","large language model cyber threat intelligence knowledge graph | LLM grounded cyber threat intelligence source attribution"
"A Survey on Large Language Models: Applications, Challenges, Limitations, and Practical Usage","2023","https://doi.org/10.36227/techrxiv.23589741.v1","https://openalex.org/W4383737134","360","2","large language model cyber threat intelligence knowledge graph | large language model security logs graph"
"Explainable Artificial Intelligence in CyberSecurity: A Survey","2022","https://doi.org/10.1109/access.2022.3204171","https://openalex.org/W4294691140","277","2","large language model attack graph cybersecurity | large language model provenance graph cybersecurity"
"Large Language Models: A Survey","2024","https://doi.org/10.48550/arxiv.2402.06196","https://openalex.org/W4391766565","224","2","large language model security logs graph | LLM security log parsing semantic normalization"
"A review of large language models and autonomous agents in chemistry","2024","https://doi.org/10.1039/d4sc03921a","https://openalex.org/W4405185373","208","2","large language model security logs graph | LLM security log parsing semantic normalization"
"When LLMs meet cybersecurity: a systematic literature review","2025","https://doi.org/10.1186/s42400-025-00361-w","https://openalex.org/W4407163436","173","2","LLM security log parsing semantic normalization | SEVENLLM cyber threat intelligence"
"Medical large language models are vulnerable to data-poisoning attacks","2025","https://doi.org/10.1038/s41591-024-03445-1","https://openalex.org/W4406152291","161","2","large language model security logs graph | LLM security log parsing semantic normalization"
