planner,budget_offset,condition_count,success_rate,premature_stop_rate,ceiling_violation_rate
coverage_greedy,0.0,135,0.3704,0.6296,0.0000
coverage_greedy,1.0,135,0.3704,0.6296,0.0000
coverage_greedy,2.0,135,0.6519,0.3481,0.0000
cmi_proxy,0.0,135,0.2519,0.7481,0.0000
cmi_proxy,1.0,135,0.2519,0.7481,0.0000
cmi_proxy,2.0,135,0.5630,0.4370,0.0000
project05_m1,0.0,135,0.3111,0.6889,0.0000
project05_m1,1.0,135,0.3111,0.6889,0.0000
project05_m1,2.0,135,0.6519,0.3481,0.0000
project05_m2,0.0,135,0.6667,0.3333,0.0000
project05_m2,1.0,135,0.6667,0.3333,0.0000
project05_m2,2.0,135,1.0000,0.0000,0.0000
project05_m3a_gap_compat,0.0,135,0.5037,0.4963,0.0000
project05_m3a_gap_compat,1.0,135,0.5037,0.4963,0.0000
project05_m3a_gap_compat,2.0,135,0.9037,0.0963,0.0000
oracle_optimal,0.0,135,1.0000,0.0000,0.0000
oracle_optimal,1.0,135,1.0000,0.0000,0.0000
oracle_optimal,2.0,135,1.0000,0.0000,0.0000
