package_id,annotator_code,item_id,action_type,acquisition_channel,target_type,target_value,expected_evidence_types,natural_language_request,case_events_scanned_evidence,observed_window_seconds_evidence,E,V,D,A,R,rating_confidence,rating_evidence,reviewed
cost_v0.1_B,B,COST-227AC4F8D97E,query_host_subgraph,host_forensics,process,powershell.exe Empire C2 lineage,network_summary|host_forensics,Recover host lineage for powershell Empire C2 and look for elevation-adjacent registry context.,753973,9666.198999881744,,,,,,,,no
cost_v0.1_B,B,COST-975F7A83F8D0,query_host_subgraph,nashua_sysmon,host,NASHUA Sysmon records,local_log,Recover NASHUA Sysmon records for files and processes created after lateral movement.,,,,,,,,,,no
cost_v0.1_B,B,COST-D63BBCF48E50,query_host_subgraph,host_forensics,process,Firefox process lineage around report PID 534051,provenance_graph|network_summary,Recover the Firefox host lineage to confirm C2 and look for elevation-adjacent process context.,256297,705.0703763961792,,,,,,,,no
cost_v0.1_B,B,COST-2E86348BC829,malware_analysis,sample_lab,file,/tmp/.kworker,local_log,Analyze the recovered FreeBSD payload.,,,,,,,,,,no
cost_v0.1_B,B,COST-0944F1424FA9,ioc_enrichment,threat_intel,domain,cdn-sync.example.org,ioc_enrichment,Enrich the observed C2 domain against campaign history.,,,,,,,,,,no
cost_v0.1_B,B,COST-B24204156BA3,human_review,analyst,context,load_helper.ko and read_scan.ko benign driver activity,local_log,Review benign driver installs that should not be treated as attack-chain gaps.,256297,7.037196397781372,,,,,,,,no
cost_v0.1_B,B,COST-474F3E2D3BE4,query_host_subgraph,host_forensics,host,CADETS victim payload chain,provenance_graph|local_log,,318821,913.6699812412262,,,,,,,,no
cost_v0.1_B,B,COST-F204F3CD6FEC,ttp_local_probe,host_probe,file,Notepad++ updater drop of Temp\f.exe,host_forensics,Recover the updater-created payload file and determine whether it subsequently executed.,37301,0.0009999275207519531,,,,,,,,no
cost_v0.1_B,B,COST-F4A14122F127,query_host_subgraph,windows_security_audit,host,Windows Security 4672 observations in the frozen incident,local_log,Recover Windows Security Event 4672 records linked to the frozen incident.,,,,,,,,,,no
cost_v0.1_B,B,COST-B2710C16B771,extend_log_window,log_retention,time_window,2026-07-01T10:01:30Z/2026-07-01T10:03:00Z,local_log|provenance_graph,Expand the Linux audit/provenance time window around the initial shell execution.,,,,,,,,,,no
cost_v0.1_B,B,COST-8974ADB9295F,query_host_subgraph,host_forensics,process,Temp\f.exe PID 1932 creation,host_forensics,Recover f.exe process creation and place it beside any immediately following C2 activity.,37301,0.0,,,,,,,,no
cost_v0.1_B,B,COST-1A1A1EEAE4DF,query_host_subgraph,host_forensics,file,C:\ProgramData\winupd.dll,provenance_graph|local_log,Recover the Windows host subgraph around the dropped DLL and its descendants.,,,,,,,,,,no
cost_v0.1_B,B,COST-882B85A39A8C,recover_network_summary,asa_summary,time_window,ASA blocked-connection summary for the frozen incident window,network_summary,Summarize blocked ASA connections across the frozen incident window without reading vendor attribution labels.,,,,,,,,,,no
cost_v0.1_B,B,COST-598D1E58A0FF,query_host_subgraph,scranton_sysmon,host,SCRANTON Sysmon records,local_log,"Recover SCRANTON Sysmon process, file and registry records for the locked nodes.",,,,,,,,,,no
cost_v0.1_B,B,COST-633743C9A3A1,ioc_enrichment,threat_intel,ip,198.51.100.77,ioc_enrichment,Enrich IP 198.51.100.77 against historical infrastructure observations.,,,,,,,,,,no
cost_v0.1_B,B,COST-DF7FB9DC371F,ttp_local_probe,host_probe,file,/etc/passwd,provenance_graph,Probe local provenance for post-exploitation discovery activity.,258074,1860.9099569320679,,,,,,,,no
cost_v0.1_B,B,COST-96F8614B776C,malware_analysis,sample_lab,file,/tmp/.cache/upd,malware_analysis,Analyze the dropped payload /tmp/.cache/upd.,,,,,,,,,,no
cost_v0.1_B,B,COST-B99392F435DA,query_host_subgraph,host_forensics,file,/var/spool/exfil.tar,provenance_graph,Recover host provenance for the staged archive to confirm the exfiltration node when network telemetry is unavailable.,,,,,,,,,,no
cost_v0.1_B,B,COST-D3960815CD6C,extend_log_window,log_retention,process,firefox.exe,local_log|network_summary,Extend Firefox host and network telemetry around the exploitation attempts.,3617566,3254.311000108719,,,,,,,,no
cost_v0.1_B,B,COST-AC4783F1C062,extend_log_window,log_retention,process,nginx,local_log|network_summary,Extend Nginx audit and flow telemetry around the exploit window.,258074,3284.189928293228,,,,,,,,no
cost_v0.1_B,B,COST-5496F27EA8A5,ttp_local_probe,host_probe,technique,T1560,local_log|provenance_graph,Probe local audit evidence for collection and archive creation.,,,,,,,,,,no
