case_id,action_id,item_id,action_type,acquisition_channel,target_type,target_value,legacy_cost,case_events_scanned,recoverable_matched_event_count,observed_window_seconds,measurement_gap,actions_ref,motif_ref
C01-linux-provenance,C01-AA-001,COST-B2710C16B771,extend_log_window,log_retention,time_window,2026-07-01T10:01:30Z/2026-07-01T10:03:00Z,2.0,,,,bytes_scanned|retention_window_days|host_count,09-experiments/examples/C01/acquisition_actions.json,
C01-linux-provenance,C01-AA-002,COST-8D429E4E4EE6,query_host_subgraph,host_forensics,process,/tmp/.cache/upd,3.0,,,,bytes_scanned|retention_window_days|host_count,09-experiments/examples/C01/acquisition_actions.json,
C01-linux-provenance,C01-AA-003,COST-656558972BEA,recover_network_summary,network_telemetry,ip,198.51.100.77,2.0,,,,bytes_scanned|retention_window_days|host_count,09-experiments/examples/C01/acquisition_actions.json,
C01-linux-provenance,C01-AA-004,COST-5063B867CDEA,ttp_local_probe,host_probe,technique,T1059,2.0,,,,bytes_scanned|retention_window_days|host_count,09-experiments/examples/C01/acquisition_actions.json,
C01-linux-provenance,C01-AA-005,COST-96F8614B776C,malware_analysis,sample_lab,file,/tmp/.cache/upd,4.0,,,,bytes_scanned|retention_window_days|host_count,09-experiments/examples/C01/acquisition_actions.json,
C01-linux-provenance,C01-AA-006,COST-633743C9A3A1,ioc_enrichment,threat_intel,ip,198.51.100.77,1.0,,,,bytes_scanned|retention_window_days|host_count,09-experiments/examples/C01/acquisition_actions.json,
C01-linux-provenance,C01-AA-007,COST-7EBA5A16E57C,query_host_subgraph,host_forensics,file,/tmp/.cache/archive.tgz,3.0,,,,bytes_scanned|retention_window_days|host_count,09-experiments/examples/C01/acquisition_actions.json,
C01-linux-provenance,C01-AA-008,COST-D7667880BDFB,recover_network_summary,network_telemetry,time_window,2026-07-01T10:06:00Z/2026-07-01T10:08:00Z,2.0,,,,bytes_scanned|retention_window_days|host_count,09-experiments/examples/C01/acquisition_actions.json,
C02-freebsd-provenance,C02-AA-001,COST-4ECD7106E0CA,extend_log_window,log_retention,host,freebsd-web-01,2.0,,,,bytes_scanned|retention_window_days|host_count,09-experiments/examples/C02/acquisition_actions.json,
C02-freebsd-provenance,C02-AA-002,COST-79413E2373B9,query_host_subgraph,host_forensics,process,/tmp/.kworker,3.0,,,,bytes_scanned|retention_window_days|host_count,09-experiments/examples/C02/acquisition_actions.json,
C02-freebsd-provenance,C02-AA-003,COST-DE0C1407A4E3,recover_network_summary,network_telemetry,ip,203.0.113.44,2.0,,,,bytes_scanned|retention_window_days|host_count,09-experiments/examples/C02/acquisition_actions.json,
C02-freebsd-provenance,C02-AA-004,COST-5496F27EA8A5,ttp_local_probe,host_probe,technique,T1560,2.0,,,,bytes_scanned|retention_window_days|host_count,09-experiments/examples/C02/acquisition_actions.json,
C02-freebsd-provenance,C02-AA-005,COST-2E86348BC829,malware_analysis,sample_lab,file,/tmp/.kworker,4.0,,,,bytes_scanned|retention_window_days|host_count,09-experiments/examples/C02/acquisition_actions.json,
C02-freebsd-provenance,C02-AA-006,COST-A919967F09FC,human_review,analyst,claim,C02-EC-010,5.0,,,,bytes_scanned|retention_window_days|host_count,09-experiments/examples/C02/acquisition_actions.json,
C02-freebsd-provenance,C02-AA-007,COST-B99392F435DA,query_host_subgraph,host_forensics,file,/var/spool/exfil.tar,3.0,,,,bytes_scanned|retention_window_days|host_count,09-experiments/examples/C02/acquisition_actions.json,
C03-windows-host,C03-AA-001,COST-FC47597539BA,extend_log_window,log_retention,host,WIN-ACCT-07,2.0,,,,bytes_scanned|retention_window_days|host_count,09-experiments/examples/C03/acquisition_actions.json,
C03-windows-host,C03-AA-002,COST-1A1A1EEAE4DF,query_host_subgraph,host_forensics,file,C:\ProgramData\winupd.dll,3.0,,,,bytes_scanned|retention_window_days|host_count,09-experiments/examples/C03/acquisition_actions.json,
C03-windows-host,C03-AA-003,COST-5D4F460A7EE8,recover_network_summary,network_telemetry,ip,192.0.2.88,2.0,,,,bytes_scanned|retention_window_days|host_count,09-experiments/examples/C03/acquisition_actions.json,
C03-windows-host,C03-AA-004,COST-EF4DB7B47F14,ttp_local_probe,host_probe,technique,T1003,2.0,,,,bytes_scanned|retention_window_days|host_count,09-experiments/examples/C03/acquisition_actions.json,
C03-windows-host,C03-AA-005,COST-0944F1424FA9,ioc_enrichment,threat_intel,domain,cdn-sync.example.org,1.0,,,,bytes_scanned|retention_window_days|host_count,09-experiments/examples/C03/acquisition_actions.json,
C03-windows-host,C03-AA-006,COST-CCFBE4B9DBF3,query_host_subgraph,host_forensics,file,C:\ProgramData\cache.7z,3.0,,,,bytes_scanned|retention_window_days|host_count,09-experiments/examples/C03/acquisition_actions.json,
C03-windows-host,C03-AA-007,COST-D23E1DD94311,human_review,analyst,registry_key,HKCU\Software\Microsoft\Windows\CurrentVersion\Run\WinUpdate,5.0,,,,bytes_scanned|retention_window_days|host_count,09-experiments/examples/C03/acquisition_actions.json,
C04-darpa-e3-fivedirections,C04-AA-001,COST-D3960815CD6C,extend_log_window,log_retention,process,firefox.exe,2.0,3617566,8070,3254.311,bytes_scanned|retention_window_days|host_count,09-experiments/real_cases/C04-darpa-e3-fivedirections/acquisition_actions.json,09-experiments/real_cases/C04-darpa-e3-fivedirections/motif_report.json
C04-darpa-e3-fivedirections,C04-AA-002,COST-474B2B02A415,recover_network_summary,network_telemetry,process,firefox.exe,2.0,3617566,415,1897.328,bytes_scanned|retention_window_days|host_count,09-experiments/real_cases/C04-darpa-e3-fivedirections/acquisition_actions.json,09-experiments/real_cases/C04-darpa-e3-fivedirections/motif_report.json
C04-darpa-e3-fivedirections,C04-AA-003,COST-D63FB1B7E6B2,query_host_subgraph,host_forensics,file,ethinfo.txt|recondata.txt,3.0,3617566,6641,960.83,bytes_scanned|retention_window_days|host_count,09-experiments/real_cases/C04-darpa-e3-fivedirections/acquisition_actions.json,09-experiments/real_cases/C04-darpa-e3-fivedirections/motif_report.json
C04-darpa-e3-fivedirections,C04-AA-004,COST-6711C38E5DF2,ttp_local_probe,host_probe,technique,T1005,2.0,3617566,101,3572.356,bytes_scanned|retention_window_days|host_count,09-experiments/real_cases/C04-darpa-e3-fivedirections/acquisition_actions.json,09-experiments/real_cases/C04-darpa-e3-fivedirections/motif_report.json
C04-darpa-e3-fivedirections,C04-AA-005,COST-5BC736C50F44,query_host_subgraph,host_forensics,case,R01 collection-to-exfiltration chain,4.0,3617566,1409,3572.356,bytes_scanned|retention_window_days|host_count,09-experiments/real_cases/C04-darpa-e3-fivedirections/acquisition_actions.json,09-experiments/real_cases/C04-darpa-e3-fivedirections/motif_report.json
C04-darpa-e3-fivedirections,C04-AA-006,COST-A9FED35C30D2,cti_report_lookup,threat_intel,ip,16.54.116.146,3.0,3617566,413,1897.328,bytes_scanned|retention_window_days|host_count,09-experiments/real_cases/C04-darpa-e3-fivedirections/acquisition_actions.json,09-experiments/real_cases/C04-darpa-e3-fivedirections/motif_report.json
C05-darpa-e3-cadets,C05-AA-001,COST-AC4783F1C062,extend_log_window,log_retention,process,nginx,2.0,258074,319,3284.189928,bytes_scanned|retention_window_days|host_count,09-experiments/real_cases/C05-darpa-e3-cadets/acquisition_actions.json,09-experiments/real_cases/C05-darpa-e3-cadets/motif_report.json
C05-darpa-e3-cadets,C05-AA-002,COST-1D49F980849A,query_host_subgraph,host_forensics,file,/tmp/vUgefal,3.0,258074,3,1982.159953,bytes_scanned|retention_window_days|host_count,09-experiments/real_cases/C05-darpa-e3-cadets/acquisition_actions.json,09-experiments/real_cases/C05-darpa-e3-cadets/motif_report.json
C05-darpa-e3-cadets,C05-AA-003,COST-2ABF2263B496,recover_network_summary,network_telemetry,case,R02 external endpoints,2.0,258074,110,2753.259938,bytes_scanned|retention_window_days|host_count,09-experiments/real_cases/C05-darpa-e3-cadets/acquisition_actions.json,09-experiments/real_cases/C05-darpa-e3-cadets/motif_report.json
C05-darpa-e3-cadets,C05-AA-004,COST-DF7FB9DC371F,ttp_local_probe,host_probe,file,/etc/passwd,2.0,258074,123,1860.909957,bytes_scanned|retention_window_days|host_count,09-experiments/real_cases/C05-darpa-e3-cadets/acquisition_actions.json,09-experiments/real_cases/C05-darpa-e3-cadets/motif_report.json
C05-darpa-e3-cadets,C05-AA-005,COST-FC05F3DC7029,human_review,analyst,case,R02 missing collection and exfiltration stages,4.0,258074,,,bytes_scanned|retention_window_days|host_count,09-experiments/real_cases/C05-darpa-e3-cadets/acquisition_actions.json,09-experiments/real_cases/C05-darpa-e3-cadets/motif_report.json
C05-darpa-e3-cadets,C05-AA-006,COST-1D6774DBDBD7,ioc_enrichment,threat_intel,case,R02 external endpoints,3.0,258074,110,2753.259938,bytes_scanned|retention_window_days|host_count,09-experiments/real_cases/C05-darpa-e3-cadets/acquisition_actions.json,09-experiments/real_cases/C05-darpa-e3-cadets/motif_report.json
C06-darpa-e3-cadets-0412,C06-AA-001,COST-0D71980639EF,extend_log_window,log_retention,process,nginx,2.0,318821,355,2335.40995,bytes_scanned|retention_window_days|host_count,09-experiments/real_cases/C06-darpa-e3-cadets-0412/acquisition_actions.json,09-experiments/real_cases/C06-darpa-e3-cadets-0412/motif_report.json
C06-darpa-e3-cadets-0412,C06-AA-002,COST-474F3E2D3BE4,query_host_subgraph,host_forensics,host,CADETS victim payload chain,3.0,318821,4,913.669981,bytes_scanned|retention_window_days|host_count,09-experiments/real_cases/C06-darpa-e3-cadets-0412/acquisition_actions.json,09-experiments/real_cases/C06-darpa-e3-cadets-0412/motif_report.json
C06-darpa-e3-cadets-0412,C06-AA-003,COST-DD71311D9B5E,recover_network_summary,network_telemetry,process,XIM,2.0,318821,188,1071.089972,bytes_scanned|retention_window_days|host_count,09-experiments/real_cases/C06-darpa-e3-cadets-0412/acquisition_actions.json,09-experiments/real_cases/C06-darpa-e3-cadets-0412/motif_report.json
C06-darpa-e3-cadets-0412,C06-AA-004,COST-16B040E81701,query_host_subgraph,host_forensics,file,/var/log/netlog,2.0,318821,1,0.0,bytes_scanned|retention_window_days|host_count,09-experiments/real_cases/C06-darpa-e3-cadets-0412/acquisition_actions.json,09-experiments/real_cases/C06-darpa-e3-cadets-0412/motif_report.json
C06-darpa-e3-cadets-0412,C06-AA-005,COST-6830AC7E93E7,recover_network_summary,network_telemetry,process,test,2.0,318821,24,179.569983,bytes_scanned|retention_window_days|host_count,09-experiments/real_cases/C06-darpa-e3-cadets-0412/acquisition_actions.json,09-experiments/real_cases/C06-darpa-e3-cadets-0412/motif_report.json
