case_id,action_id,action_type,acquisition_channel,trial_id,analyst_minutes,machine_seconds,bytes_scanned,records_scanned,host_count,retention_window_days,authorization_tier_0_3,perturbation_tier_0_3,measurement_notes
C01-linux-provenance,C01-AA-001,extend_log_window,log_retention,,,,,,,,,,
C01-linux-provenance,C01-AA-002,query_host_subgraph,host_forensics,,,,,,,,,,
C01-linux-provenance,C01-AA-003,recover_network_summary,network_telemetry,,,,,,,,,,
C01-linux-provenance,C01-AA-004,ttp_local_probe,host_probe,,,,,,,,,,
C01-linux-provenance,C01-AA-005,malware_analysis,sample_lab,,,,,,,,,,
C01-linux-provenance,C01-AA-006,ioc_enrichment,threat_intel,,,,,,,,,,
C01-linux-provenance,C01-AA-007,query_host_subgraph,host_forensics,,,,,,,,,,
C01-linux-provenance,C01-AA-008,recover_network_summary,network_telemetry,,,,,,,,,,
C02-freebsd-provenance,C02-AA-001,extend_log_window,log_retention,,,,,,,,,,
C02-freebsd-provenance,C02-AA-002,query_host_subgraph,host_forensics,,,,,,,,,,
C02-freebsd-provenance,C02-AA-003,recover_network_summary,network_telemetry,,,,,,,,,,
C02-freebsd-provenance,C02-AA-004,ttp_local_probe,host_probe,,,,,,,,,,
C02-freebsd-provenance,C02-AA-005,malware_analysis,sample_lab,,,,,,,,,,
C02-freebsd-provenance,C02-AA-006,human_review,analyst,,,,,,,,,,
C02-freebsd-provenance,C02-AA-007,query_host_subgraph,host_forensics,,,,,,,,,,
C03-windows-host,C03-AA-001,extend_log_window,log_retention,,,,,,,,,,
C03-windows-host,C03-AA-002,query_host_subgraph,host_forensics,,,,,,,,,,
C03-windows-host,C03-AA-003,recover_network_summary,network_telemetry,,,,,,,,,,
C03-windows-host,C03-AA-004,ttp_local_probe,host_probe,,,,,,,,,,
C03-windows-host,C03-AA-005,ioc_enrichment,threat_intel,,,,,,,,,,
C03-windows-host,C03-AA-006,query_host_subgraph,host_forensics,,,,,,,,,,
C03-windows-host,C03-AA-007,human_review,analyst,,,,,,,,,,
C04-darpa-e3-fivedirections,C04-AA-001,extend_log_window,log_retention,,,,,,,,,,
C04-darpa-e3-fivedirections,C04-AA-002,recover_network_summary,network_telemetry,,,,,,,,,,
C04-darpa-e3-fivedirections,C04-AA-003,query_host_subgraph,host_forensics,,,,,,,,,,
