schedule_id,scheduled_run_index,phase_run_index,phase,attempt_round,block_id,block_position,case_id,action_id,action_type,planned_planner_decision_id,planned_execution_attempt_id,assignment_status,machine_id,cache_state,executor_id,execution_date,environment_id,initial_state_id
project05-operational-cost-minimum-coverage-schedule-v0.3,1,1,calibration,1,calibration-round-01,1,C01,C01-AA-003,query_host_subgraph,decision--C01--C01-AA-003--r01,attempt--C01--C01-AA-003--r01,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,2,2,calibration,1,calibration-round-01,2,C03,C03-AA-001,extend_log_window,decision--C03--C03-AA-001--r01,attempt--C03--C03-AA-001--r01,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,3,3,calibration,1,calibration-round-01,3,C02,C02-AA-005,human_review,decision--C02--C02-AA-005--r01,attempt--C02--C02-AA-005--r01,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,4,4,calibration,1,calibration-round-01,4,C03,C03-AA-007,query_host_subgraph,decision--C03--C03-AA-007--r01,attempt--C03--C03-AA-007--r01,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,5,5,calibration,1,calibration-round-01,5,C01,C01-AA-004,ttp_local_probe,decision--C01--C01-AA-004--r01,attempt--C01--C01-AA-004--r01,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,6,6,calibration,1,calibration-round-01,6,C02,C02-AA-004,ttp_local_probe,decision--C02--C02-AA-004--r01,attempt--C02--C02-AA-004--r01,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,7,7,calibration,1,calibration-round-01,7,C01,C01-AA-001,extend_log_window,decision--C01--C01-AA-001--r01,attempt--C01--C01-AA-001--r01,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,8,8,calibration,1,calibration-round-01,8,C03,C03-AA-004,query_host_subgraph,decision--C03--C03-AA-004--r01,attempt--C03--C03-AA-004--r01,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,9,9,calibration,1,calibration-round-01,9,C03,C03-AA-003,recover_network_summary,decision--C03--C03-AA-003--r01,attempt--C03--C03-AA-003--r01,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,10,10,calibration,1,calibration-round-01,10,C02,C02-AA-003,recover_network_summary,decision--C02--C02-AA-003--r01,attempt--C02--C02-AA-003--r01,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,11,11,calibration,1,calibration-round-01,11,C03,C03-AA-006,ttp_local_probe,decision--C03--C03-AA-006--r01,attempt--C03--C03-AA-006--r01,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,12,12,calibration,1,calibration-round-01,12,C03,C03-AA-002,query_host_subgraph,decision--C03--C03-AA-002--r01,attempt--C03--C03-AA-002--r01,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,13,13,calibration,1,calibration-round-01,13,C01,C01-AA-006,cti_report_lookup,decision--C01--C01-AA-006--r01,attempt--C01--C01-AA-006--r01,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,14,14,calibration,1,calibration-round-01,14,C02,C02-AA-002,query_host_subgraph,decision--C02--C02-AA-002--r01,attempt--C02--C02-AA-002--r01,unassigned,,,,,,
project05-operational-cost-minimum-coverage-schedule-v0.3,15,15,calibration,1,calibration-round-01,15,C02,C02-AA-006,ioc_enrichment,decision--C02--C02-AA-006--r01,attempt--C02--C02-AA-006--r01,unassigned,,,,,,
