planner,family,repeated_run_count,success_rate,mean_cost_to_target,mean_cost_regret_vs_oracle,mean_zero_yield_actions,premature_stop_rate,ceiling_violation_rate
oracle_optimal,reference,45,1.0,3.0,0.0,,0.0,0.0
coverage_greedy,transparent_rule,45,1.0,3.2444,0.2444,,0.0,0.0
project05_m1,transparent_rule,45,1.0,3.2444,0.2444,,0.0,0.0
project05_m2,transparent_rule,45,1.0,3.6667,0.6667,,0.0,0.0
project05_m3a_gap_compat,transparent_rule,45,1.0,3.5556,0.5556,,0.0,0.0
project05_m3b_policy,logistic_transfer,45,1.0,3.0667,0.0667,0.0222,0.0,0.0
project05_xgboost_policy,xgboost_transfer,45,1.0,3.0667,0.0667,0.0222,0.0,0.0
afa_voi_myopic,afa_adapter,45,1.0,3.5556,0.5556,0.2,0.0,0.0
afa_voi_rollout_h3,afa_adapter,45,1.0,3.6889,0.6889,0.2444,0.0,0.0
project05_depth2_public,public_lookahead,45,0.9778,4.9091,1.9318,0.4444,0.0222,0.0
