case_id,mask_strategy,mask_intensity,seed,planner,reached_target,cost_to_target,steps_to_target,actions_taken,budget_used,cost_regret_vs_oracle,oracle_top1_action_hit,premature_stop,ceiling_violation,action_value_model_family,correct_degrade_stop,correct_stop,correct_target_stop,evaluation_partition,explicit_stop,final_critical_gap_count,final_edge_coverage,final_granularity,final_node_coverage,initial_direct_over_attribution,initial_granularity,initial_hidden_claims,justified_degrade_stop,m3star_requested_horizon,m3star_uses_action_value,max_explicit_outcomes,max_outcome_nodes,oracle_cost_to_target,oracle_top1_action_id,overlap_waste_cost,recovered_claims,steps_taken,support_ceiling,target_granularity,transition_model_family,zero_yield_actions
C01-linux-provenance,random,0.2,11,project05_m3star_h3_dual,1,3.0,1,C01-AA-007,3.0,0.0,0,0,0,m3star_graph_action_value_xgboost_v0.1,0,1,1,train,0,0,1.0,G3_campaign,1.0,1,G2_tactic_intent,3,0,3,1,,8,3.0,C01-AA-002,0.0,3,1,G5_named_actor,G3_campaign,m3star_graph_transition_xgboost_v0.1,0
C01-linux-provenance,random,0.2,11,project05_m3star_h3_transition_only,1,3.0,1,C01-AA-002,3.0,0.0,1,0,0,none,0,1,1,train,0,0,1.0,G3_campaign,1.0,1,G2_tactic_intent,3,0,3,0,,8,3.0,C01-AA-002,0.0,3,1,G5_named_actor,G3_campaign,m3star_graph_transition_xgboost_v0.1,0
C01-linux-provenance,random,0.2,11,project05_m3star_h1_dual,1,3.0,1,C01-AA-002,3.0,0.0,1,0,0,m3star_graph_action_value_xgboost_v0.1,0,1,1,train,0,0,1.0,G3_campaign,1.0,1,G2_tactic_intent,3,0,1,1,,8,3.0,C01-AA-002,0.0,3,1,G5_named_actor,G3_campaign,m3star_graph_transition_xgboost_v0.1,0
C01-linux-provenance,random,0.2,11,project05_xgboost_policy,1,3.0,1,C01-AA-007,3.0,0.0,0,0,0,,0,1,1,train,0,0,1.0,G3_campaign,1.0,1,G2_tactic_intent,3,0,,,,,3.0,C01-AA-002,0.0,3,1,G5_named_actor,G3_campaign,,0
C01-linux-provenance,random,0.2,11,project05_m3b_policy,1,3.0,1,C01-AA-002,3.0,0.0,1,0,0,,0,1,1,train,0,0,1.0,G3_campaign,1.0,1,G2_tactic_intent,3,0,,,,,3.0,C01-AA-002,0.0,3,1,G5_named_actor,G3_campaign,,0
C01-linux-provenance,random,0.2,11,project05_m2,1,3.0,1,C01-AA-007,3.0,0.0,0,0,0,,0,1,1,train,0,0,1.0,G3_campaign,1.0,1,G2_tactic_intent,3,0,,,,,3.0,C01-AA-002,0.0,3,1,G5_named_actor,G3_campaign,,0
C01-linux-provenance,random,0.2,11,oracle_optimal,1,3.0,1,C01-AA-002,3.0,0.0,1,0,0,,0,1,1,train,0,0,1.0,G3_campaign,1.0,1,G2_tactic_intent,3,0,,,,,3.0,C01-AA-002,0.0,3,1,G5_named_actor,G3_campaign,,0
C01-linux-provenance,random,0.2,23,project05_m3star_h3_dual,1,2.0,1,C01-AA-004,2.0,0.0,0,0,0,m3star_graph_action_value_xgboost_v0.1,0,1,1,train,0,0,1.0,G3_campaign,1.0,1,G2_tactic_intent,3,0,3,1,,8,2.0,C01-AA-001,0.0,3,1,G5_named_actor,G3_campaign,m3star_graph_transition_xgboost_v0.1,0
C01-linux-provenance,random,0.2,23,project05_m3star_h3_transition_only,1,2.0,1,C01-AA-004,2.0,0.0,0,0,0,none,0,1,1,train,0,0,1.0,G3_campaign,1.0,1,G2_tactic_intent,3,0,3,0,,8,2.0,C01-AA-001,0.0,3,1,G5_named_actor,G3_campaign,m3star_graph_transition_xgboost_v0.1,0
C01-linux-provenance,random,0.2,23,project05_m3star_h1_dual,1,2.0,1,C01-AA-004,2.0,0.0,0,0,0,m3star_graph_action_value_xgboost_v0.1,0,1,1,train,0,0,1.0,G3_campaign,1.0,1,G2_tactic_intent,3,0,1,1,,8,2.0,C01-AA-001,0.0,3,1,G5_named_actor,G3_campaign,m3star_graph_transition_xgboost_v0.1,0
