source_result_dir,case_id,mask_strategy,mask_intensity,seed,decision_index,m3star_action_id,m3star_action_cost,xgboost_action_id,logistic_action_id,experts_agree,candidate_action_id,candidate_action_cost,candidate_reachability,candidate_differs_from_m3star,consensus_substitution_eligible,xgboost_episode_success,logistic_episode_success,candidate_recovered_count,m3star_recovered_count,candidate_zero_yield_offline,m3star_zero_yield_offline
09-experiments/results/m3star_measured_replay_prefeedback_c07_c10_v0.7,C07-darpa-e5-theia-0515,random,0.2,23,0,C07-AA-004,2.0,C07-AA-003,C07-AA-003,1,C07-AA-003,1.0,0.9945759773254395,1,1,1,1,0,1,1,0
09-experiments/results/m3star_measured_replay_prefeedback_c07_c10_v0.7,C07-darpa-e5-theia-0515,random,0.4,23,0,C07-AA-004,2.0,C07-AA-002,C07-AA-001,0,,,,0,0,1,1,0,1,0,0
09-experiments/results/m3star_measured_replay_prefeedback_c07_c10_v0.7,C07-darpa-e5-theia-0515,random,0.4,23,1,C07-AA-001,1.0,C07-AA-002,C07-AA-001,0,,,,0,0,1,1,0,0,0,1
09-experiments/results/m3star_measured_replay_prefeedback_c07_c10_v0.7,C07-darpa-e5-theia-0515,random,0.4,23,2,C07-AA-002,2.0,C07-AA-002,C07-AA-002,1,C07-AA-002,2.0,0.998214840888977,0,0,1,1,1,1,0,0
09-experiments/results/m3star_measured_replay_prefeedback_c07_c10_v0.7,C07-darpa-e5-theia-0515,random,0.4,37,0,C07-AA-001,1.0,C07-AA-002,C07-AA-001,0,,,,0,0,1,1,0,0,0,1
09-experiments/results/m3star_measured_replay_prefeedback_c07_c10_v0.7,C07-darpa-e5-theia-0515,random,0.4,37,1,C07-AA-002,2.0,C07-AA-002,C07-AA-002,1,C07-AA-002,2.0,0.9972466230392456,0,0,1,1,1,1,0,0
09-experiments/results/m3star_measured_replay_prefeedback_c07_c10_v0.7,C07-darpa-e5-theia-0515,random,0.4,41,0,C07-AA-004,2.0,C07-AA-003,C07-AA-003,1,C07-AA-003,1.0,0.9945759773254395,1,1,1,1,0,1,1,0
09-experiments/results/m3star_measured_replay_prefeedback_c07_c10_v0.7,C07-darpa-e5-theia-0515,random,0.4,53,0,C07-AA-003,1.0,C07-AA-002,C07-AA-001,0,,,,0,0,1,1,0,1,0,0
09-experiments/results/m3star_measured_replay_prefeedback_c07_c10_v0.7,C07-darpa-e5-theia-0515,random,0.6,11,0,C07-AA-003,1.0,C07-AA-002,C07-AA-001,0,,,,0,0,1,1,0,1,0,0
09-experiments/results/m3star_measured_replay_prefeedback_c07_c10_v0.7,C07-darpa-e5-theia-0515,random,0.6,23,0,C07-AA-004,2.0,C07-AA-002,C07-AA-001,0,,,,0,0,1,1,0,1,0,0
09-experiments/results/m3star_measured_replay_prefeedback_c07_c10_v0.7,C07-darpa-e5-theia-0515,random,0.6,23,1,C07-AA-001,1.0,C07-AA-002,C07-AA-001,0,,,,0,0,1,1,0,0,0,1
09-experiments/results/m3star_measured_replay_prefeedback_c07_c10_v0.7,C07-darpa-e5-theia-0515,random,0.6,23,2,C07-AA-002,2.0,C07-AA-002,C07-AA-002,1,C07-AA-002,2.0,0.998214840888977,0,0,1,1,1,1,0,0
09-experiments/results/m3star_measured_replay_prefeedback_c07_c10_v0.7,C07-darpa-e5-theia-0515,random,0.6,37,0,C07-AA-004,2.0,C07-AA-002,C07-AA-001,0,,,,0,0,1,1,0,1,0,0
09-experiments/results/m3star_measured_replay_prefeedback_c07_c10_v0.7,C07-darpa-e5-theia-0515,random,0.6,37,1,C07-AA-001,1.0,C07-AA-002,C07-AA-001,0,,,,0,0,1,1,0,0,0,1
09-experiments/results/m3star_measured_replay_prefeedback_c07_c10_v0.7,C07-darpa-e5-theia-0515,random,0.6,37,2,C07-AA-002,2.0,C07-AA-002,C07-AA-002,1,C07-AA-002,2.0,0.998214840888977,0,0,1,1,1,1,0,0
09-experiments/results/m3star_measured_replay_prefeedback_c07_c10_v0.7,C07-darpa-e5-theia-0515,random,0.6,41,0,C07-AA-004,2.0,C07-AA-002,C07-AA-001,0,,,,0,0,1,1,0,1,0,0
09-experiments/results/m3star_measured_replay_prefeedback_c07_c10_v0.7,C07-darpa-e5-theia-0515,random,0.6,41,1,C07-AA-001,1.0,C07-AA-002,C07-AA-001,0,,,,0,0,1,1,0,1,0,0
09-experiments/results/m3star_measured_replay_prefeedback_c07_c10_v0.7,C07-darpa-e5-theia-0515,random,0.6,53,0,C07-AA-003,1.0,C07-AA-002,C07-AA-001,0,,,,0,0,1,1,0,1,0,0
09-experiments/results/m3star_measured_replay_prefeedback_c07_c10_v0.7,C07-darpa-e5-theia-0515,stage,0.2,11,0,C07-AA-001,1.0,C07-AA-002,C07-AA-001,0,,,,0,0,1,1,0,1,0,0
09-experiments/results/m3star_measured_replay_prefeedback_c07_c10_v0.7,C07-darpa-e5-theia-0515,stage,0.2,23,0,C07-AA-001,1.0,C07-AA-002,C07-AA-001,0,,,,0,0,1,1,0,0,0,1
09-experiments/results/m3star_measured_replay_prefeedback_c07_c10_v0.7,C07-darpa-e5-theia-0515,stage,0.2,23,1,C07-AA-002,2.0,C07-AA-002,C07-AA-002,1,C07-AA-002,2.0,0.9972466230392456,0,0,1,1,1,1,0,0
09-experiments/results/m3star_measured_replay_prefeedback_c07_c10_v0.7,C07-darpa-e5-theia-0515,stage,0.2,37,0,C07-AA-001,1.0,C07-AA-002,C07-AA-001,0,,,,0,0,1,1,0,0,0,1
09-experiments/results/m3star_measured_replay_prefeedback_c07_c10_v0.7,C07-darpa-e5-theia-0515,stage,0.2,37,1,C07-AA-002,2.0,C07-AA-002,C07-AA-002,1,C07-AA-002,2.0,0.9972466230392456,0,0,1,1,1,1,0,0
09-experiments/results/m3star_measured_replay_prefeedback_c07_c10_v0.7,C07-darpa-e5-theia-0515,stage,0.2,41,0,C07-AA-001,1.0,C07-AA-002,C07-AA-001,0,,,,0,0,1,1,0,1,0,0
09-experiments/results/m3star_measured_replay_prefeedback_c07_c10_v0.7,C07-darpa-e5-theia-0515,stage,0.2,53,0,C07-AA-001,1.0,C07-AA-002,C07-AA-001,0,,,,0,0,1,1,0,1,0,0
09-experiments/results/m3star_measured_replay_prefeedback_c07_c10_v0.7,C07-darpa-e5-theia-0515,stage,0.4,11,0,C07-AA-001,1.0,C07-AA-001,C07-AA-001,1,C07-AA-001,1.0,0.9284948110580444,0,0,1,1,1,1,0,0
09-experiments/results/m3star_measured_replay_prefeedback_c07_c10_v0.7,C07-darpa-e5-theia-0515,stage,0.4,11,1,C07-AA-003,1.0,C07-AA-002,C07-AA-003,0,,,,0,0,1,1,0,1,0,0
09-experiments/results/m3star_measured_replay_prefeedback_c07_c10_v0.7,C07-darpa-e5-theia-0515,stage,0.4,23,0,C07-AA-001,1.0,C07-AA-001,C07-AA-001,1,C07-AA-001,1.0,0.9284948110580444,0,0,1,1,0,0,1,1
09-experiments/results/m3star_measured_replay_prefeedback_c07_c10_v0.7,C07-darpa-e5-theia-0515,stage,0.4,23,1,C07-AA-002,2.0,C07-AA-002,C07-AA-002,1,C07-AA-002,2.0,0.7693626284599304,0,0,1,1,1,1,0,0
09-experiments/results/m3star_measured_replay_prefeedback_c07_c10_v0.7,C07-darpa-e5-theia-0515,stage,0.4,23,2,C07-AA-003,1.0,C07-AA-004,C07-AA-003,0,,,,0,0,1,1,0,1,0,0
09-experiments/results/m3star_measured_replay_prefeedback_c07_c10_v0.7,C07-darpa-e5-theia-0515,stage,0.4,37,0,C07-AA-001,1.0,C07-AA-001,C07-AA-001,1,C07-AA-001,1.0,0.9284948110580444,0,0,1,1,0,0,1,1
