case_id,observation_sha256,state_count,state_depth,oracle_first_action_conflict,deterministic_public_policy_lower_bound,observed_m3star_max_regret,distinct_oracle_first_action_ids,minimax_first_action_ids,observed_m3star_action_paths
C07-darpa-e5-theia-0515,0407fc2b23487543d3d89954e1cb250b557cdb465bda091fd3b323237c2949f0,4,1,0,0.0,0.0,"[""C07-AA-002""]","[""C07-AA-002""]","[""C07-AA-002""]"
C07-darpa-e5-theia-0515,08fe55bd39f49dd77f54c2dc117594cea8fc04631198d4ffce439ae2f60ec482,4,2,0,0.0,0.0,"[""C07-AA-003""]","[""C07-AA-003""]","[""C07-AA-003""]"
C07-darpa-e5-theia-0515,0b840bb14abdca75d1469722c10c78ab28fe4b310bd7696069040635c42671c7,1,2,0,0.0,1.0,"[""C07-AA-002""]","[""C07-AA-002""]","[""C07-AA-001>C07-AA-002""]"
C07-darpa-e5-theia-0515,10b28a8327c923aae125f9c188047f43c1cc46376207ed195e440fb034aeb15b,1,1,0,0.0,1.0,"[""C07-AA-002""]","[""C07-AA-002""]","[""C07-AA-001>C07-AA-002""]"
C07-darpa-e5-theia-0515,135e983a78afa6b3aa98c11e04bc3a73bb6fc83ef640b53bf73dfdeca9289e0b,10,2,0,0.0,0.0,"[""C07-AA-004""]","[""C07-AA-004""]","[""C07-AA-004""]"
C07-darpa-e5-theia-0515,160525d6bc4d4d402215325c4d235e94c726724a360e9a14ceac7122a9ddc475,1,1,0,0.0,1.0,"[""C07-AA-002""]","[""C07-AA-002""]","[""C07-AA-001>C07-AA-002""]"
C07-darpa-e5-theia-0515,1bb9b795f48276b8e0a65e3e67f898ff12a03ddfb3bcdd0252f767b1581ea648,2,2,0,0.0,0.0,"[""C07-AA-004""]","[""C07-AA-004""]","[""C07-AA-004""]"
C07-darpa-e5-theia-0515,1df226eb53796df4de971290c5e2aa1843f33a9ff2e95f71d66e036876667fa7,4,2,0,0.0,0.0,"[""C07-AA-002""]","[""C07-AA-002""]","[""C07-AA-002""]"
C07-darpa-e5-theia-0515,1eda94ec22220e8bcdc40277e2444b62abbc05326b1e58f241376031edfc4889,6,2,0,0.0,0.0,"[""C07-AA-004""]","[""C07-AA-004""]","[""C07-AA-004""]"
C07-darpa-e5-theia-0515,209e617af5047ab152848e66965f9ed569ea59b4865e2e297400f1dc65dcdbd9,1,1,0,0.0,0.0,"[""C07-AA-004""]","[""C07-AA-004""]","[""C07-AA-004""]"
C07-darpa-e5-theia-0515,24a314e4b1d90a217cddb552d4c308d018bd59fd82ffd687d6c3f65d0c7b1b78,6,2,0,0.0,0.0,"[""C07-AA-003""]","[""C07-AA-003"", ""C07-AA-004""]","[""C07-AA-003>C07-AA-004""]"
C07-darpa-e5-theia-0515,27af47cf6e680889bace170e2fffdc1e202e4ec2ee962d87df40a0cbd1e062d4,1,0,0,0.0,0.0,"[""C07-AA-004""]","[""C07-AA-004""]","[""C07-AA-004""]"
C07-darpa-e5-theia-0515,29a75fc8681b7bb4cab30591ee0a1135a10c88b4d2f79c07257b4b6e7cdd3910,1,2,0,0.0,0.0,"[""C07-AA-004""]","[""C07-AA-004""]","[""C07-AA-004""]"
C07-darpa-e5-theia-0515,352d3180893a855cd4dfb46ca75f15827045799a2fb30dadbb251f985aeb4291,1,1,0,0.0,0.0,"[""C07-AA-004""]","[""C07-AA-004""]","[""C07-AA-004""]"
C07-darpa-e5-theia-0515,3a90d72eb514d18e628d390387b3b3d16daca7252ca5793d8e2850921a078baf,1,1,0,0.0,0.0,"[""C07-AA-003""]","[""C07-AA-003""]","[""C07-AA-003""]"
C07-darpa-e5-theia-0515,3f75e0a689ad1a0167f52372d49699e2c27ea21fa0f62717862d0f5d92c90a47,10,1,1,1.0,1.0,"[""C07-AA-001"", ""C07-AA-002""]","[""C07-AA-001"", ""C07-AA-002""]","[""C07-AA-001"", ""C07-AA-001>C07-AA-002""]"
C07-darpa-e5-theia-0515,4203668a9f2b61521a5ce5959b987097a75d3d99a38cef14bd9d4f7ead36c5d1,1,2,0,0.0,0.0,"[""C07-AA-003""]","[""C07-AA-003""]","[""C07-AA-003""]"
C07-darpa-e5-theia-0515,43f6df5a56467781d1f28622c8ce19ea66cf4b0fe1eaad30718479771f768d08,2,2,0,0.0,0.0,"[""C07-AA-002""]","[""C07-AA-002""]","[""C07-AA-002""]"
C07-darpa-e5-theia-0515,45f3b16714e27779d48748739118d95db57e3974654a715610b61fc479cf6784,10,0,1,0.0,1.0,"[""C07-AA-001"", ""C07-AA-002""]","[""C07-AA-003""]","[""C07-AA-001>C07-AA-002>C07-AA-003"", ""C07-AA-001>C07-AA-003""]"
C07-darpa-e5-theia-0515,476fd4b44231cac0f3461764897d297a31254014ae1536fde1ba3fd5cdaf57c9,1,2,0,0.0,0.0,"[""C07-AA-004""]","[""C07-AA-004""]","[""C07-AA-004""]"
C07-darpa-e5-theia-0515,4a6d8261ba5febf0be02b88764a710360af9e1cd019c8d4172b4578b80c55380,1,1,0,0.0,0.0,"[""C07-AA-004""]","[""C07-AA-004""]","[""C07-AA-004""]"
C07-darpa-e5-theia-0515,4e1cd4b6c6dfc02a6ed797881993eeb9dc4df991b040a7f03ce476cea06ec907,6,2,0,0.0,0.0,"[""C07-AA-003""]","[""C07-AA-003""]","[""C07-AA-003""]"
C07-darpa-e5-theia-0515,4e8b4e87e61a2b0f7926ab1135bac3f682899cb9ff69b2a004eb43127576ba33,1,2,0,0.0,0.0,"[""C07-AA-002""]","[""C07-AA-002""]","[""C07-AA-002""]"
C07-darpa-e5-theia-0515,4edb5b973c9d09e959fa63a777a1a3021ddd9a887e2630ed06b10d8988582336,2,1,0,0.0,0.0,"[""C07-AA-003""]","[""C07-AA-003""]","[""C07-AA-003""]"
C07-darpa-e5-theia-0515,5693eeae2e915dcf4eca2fed6908b5e3d99ab9e9244da4406a3e3bcdb9c4ca1f,1,1,0,0.0,0.0,"[""C07-AA-004""]","[""C07-AA-004""]","[""C07-AA-004""]"
C07-darpa-e5-theia-0515,5e83df2dbe10de3bab20eefa72fcf0759cff62aad0a3931e58cb8c91a31ae4f6,4,1,0,0.0,0.0,"[""C07-AA-002""]","[""C07-AA-002"", ""C07-AA-003""]","[""C07-AA-002>C07-AA-003""]"
C07-darpa-e5-theia-0515,5f4dcd36b2968195a5a8264a776bccaee69a4921c8b6a5d4d1cad5e455bae2ad,2,0,0,0.0,0.0,"[""C07-AA-003""]","[""C07-AA-003""]","[""C07-AA-003""]"
C07-darpa-e5-theia-0515,6130bbf5270b64ec17bb64fd3af718ce39b798a077aa4e9afda793b3e60b9fc5,10,2,0,0.0,0.0,"[""C07-AA-003""]","[""C07-AA-003""]","[""C07-AA-003""]"
C07-darpa-e5-theia-0515,62b13fe70a2f5002e9ada6f07678c9719056d33ec90c5e65d3dda03aded23675,4,1,0,0.0,0.0,"[""C07-AA-002""]","[""C07-AA-002"", ""C07-AA-003"", ""C07-AA-004""]","[""C07-AA-003>C07-AA-004>C07-AA-002""]"
C07-darpa-e5-theia-0515,63f8989975798657988a107708388e1f4388b07a56d820fd2219ca17a6b939fd,2,1,0,0.0,0.0,"[""C07-AA-003""]","[""C07-AA-003""]","[""C07-AA-003""]"
C07-darpa-e5-theia-0515,671f6267812a0d81d5244da49945a0c7de4b4f4f1c5cd098d570d6b789ea1666,10,2,1,1.0,1.0,"[""C07-AA-001"", ""C07-AA-002""]","[""C07-AA-001"", ""C07-AA-002""]","[""C07-AA-001"", ""C07-AA-001>C07-AA-002""]"
C07-darpa-e5-theia-0515,6986378659cf65c48b62582d99d78a9d515c5de74a153ec15a89438a2f681add,10,0,1,1.0,1.0,"[""C07-AA-001"", ""C07-AA-002""]","[""C07-AA-001"", ""C07-AA-002"", ""C07-AA-003""]","[""C07-AA-001"", ""C07-AA-001>C07-AA-002""]"
C07-darpa-e5-theia-0515,6a5f059c8a837f7e78258b9e59ad1c273591039aab2cd2dc760bd07b56fca90d,6,2,0,0.0,0.0,"[""C07-AA-003""]","[""C07-AA-003""]","[""C07-AA-003""]"
C07-darpa-e5-theia-0515,700086b040fe65a5376a4b341c73222e068fed5063b81d5c7f664b99cbadb978,1,2,0,0.0,0.0,"[""C07-AA-004""]","[""C07-AA-004""]","[""C07-AA-004""]"
C07-darpa-e5-theia-0515,703b993b95b1c1adcf994045d6bc226eaf0f5067ab34f8cc0ce0a471165e5d29,6,1,0,0.0,0.0,"[""C07-AA-003""]","[""C07-AA-003""]","[""C07-AA-003""]"
C07-darpa-e5-theia-0515,708b07687725dcebfe7ff029e9f0eaa780015558c95eacb680899ce4dac2ade6,1,1,0,0.0,0.0,"[""C07-AA-002""]","[""C07-AA-002""]","[""C07-AA-002""]"
C07-darpa-e5-theia-0515,71cb2bb2ff84d1bd4b2c1b5894510131b1c2a4ecdf35dcdf0192df0d5e34ba4d,1,1,0,0.0,0.0,"[""C07-AA-003""]","[""C07-AA-003""]","[""C07-AA-003""]"
