variant,case_id,independent_unit,repeated_condition_count,success_count,success_rate,success_flip_rate_vs_legacy,action_sequence_agreement_vs_legacy,ceiling_violation_rate
legacy_priors,C07-darpa-e5-theia-0515,case_or_attack_chain,45,45,1.0,0.0,1.0,0.0
legacy_priors,C08-darpa-e5-clearscope-0515,case_or_attack_chain,45,45,1.0,0.0,1.0,0.0
legacy_priors,C09-darpa-optc-sysclient0201-0923,case_or_attack_chain,45,45,1.0,0.0,1.0,0.0
legacy_priors,C10-darpa-optc-sysclient0351-0925,case_or_attack_chain,45,45,1.0,0.0,1.0,0.0
legacy_priors,C11-otrf-apt29-day1-scranton-nashua,case_or_attack_chain,45,45,1.0,0.0,1.0,0.0
legacy_priors,C12-witfoo-precinct6-f10c7270,case_or_attack_chain,45,45,1.0,0.0,1.0,0.0
dev_measured_base,C07-darpa-e5-theia-0515,case_or_attack_chain,45,45,1.0,0.0,0.6889,0.0
dev_measured_base,C08-darpa-e5-clearscope-0515,case_or_attack_chain,45,45,1.0,0.0,0.6222,0.0
dev_measured_base,C09-darpa-optc-sysclient0201-0923,case_or_attack_chain,45,45,1.0,0.0,0.9333,0.0
dev_measured_base,C10-darpa-optc-sysclient0351-0925,case_or_attack_chain,45,45,1.0,0.0,0.8222,0.0
dev_measured_base,C11-otrf-apt29-day1-scranton-nashua,case_or_attack_chain,45,42,0.9333,0.0667,0.9333,0.0
dev_measured_base,C12-witfoo-precinct6-f10c7270,case_or_attack_chain,45,45,1.0,0.0,1.0,0.0
dev_measured_expert_x0.75,C07-darpa-e5-theia-0515,case_or_attack_chain,45,45,1.0,0.0,0.6889,0.0
dev_measured_expert_x0.75,C08-darpa-e5-clearscope-0515,case_or_attack_chain,45,45,1.0,0.0,0.6222,0.0
dev_measured_expert_x0.75,C09-darpa-optc-sysclient0201-0923,case_or_attack_chain,45,45,1.0,0.0,0.8889,0.0
dev_measured_expert_x0.75,C10-darpa-optc-sysclient0351-0925,case_or_attack_chain,45,45,1.0,0.0,0.7556,0.0
dev_measured_expert_x0.75,C11-otrf-apt29-day1-scranton-nashua,case_or_attack_chain,45,42,0.9333,0.0667,0.9333,0.0
dev_measured_expert_x0.75,C12-witfoo-precinct6-f10c7270,case_or_attack_chain,45,45,1.0,0.0,1.0,0.0
dev_measured_expert_x1.25,C07-darpa-e5-theia-0515,case_or_attack_chain,45,45,1.0,0.0,0.6889,0.0
dev_measured_expert_x1.25,C08-darpa-e5-clearscope-0515,case_or_attack_chain,45,45,1.0,0.0,0.6444,0.0
dev_measured_expert_x1.25,C09-darpa-optc-sysclient0201-0923,case_or_attack_chain,45,45,1.0,0.0,0.9556,0.0
dev_measured_expert_x1.25,C10-darpa-optc-sysclient0351-0925,case_or_attack_chain,45,45,1.0,0.0,0.8222,0.0
dev_measured_expert_x1.25,C11-otrf-apt29-day1-scranton-nashua,case_or_attack_chain,45,45,1.0,0.0,0.7778,0.0
dev_measured_expert_x1.25,C12-witfoo-precinct6-f10c7270,case_or_attack_chain,45,45,1.0,0.0,1.0,0.0
dev_measured_channel_x0.75,C07-darpa-e5-theia-0515,case_or_attack_chain,45,45,1.0,0.0,0.6889,0.0
dev_measured_channel_x0.75,C08-darpa-e5-clearscope-0515,case_or_attack_chain,45,45,1.0,0.0,0.6222,0.0
dev_measured_channel_x0.75,C09-darpa-optc-sysclient0201-0923,case_or_attack_chain,45,45,1.0,0.0,0.9333,0.0
dev_measured_channel_x0.75,C10-darpa-optc-sysclient0351-0925,case_or_attack_chain,45,45,1.0,0.0,0.8222,0.0
dev_measured_channel_x0.75,C11-otrf-apt29-day1-scranton-nashua,case_or_attack_chain,45,42,0.9333,0.0667,0.9333,0.0
dev_measured_channel_x0.75,C12-witfoo-precinct6-f10c7270,case_or_attack_chain,45,45,1.0,0.0,1.0,0.0
dev_measured_channel_x1.25,C07-darpa-e5-theia-0515,case_or_attack_chain,45,45,1.0,0.0,0.6889,0.0
dev_measured_channel_x1.25,C08-darpa-e5-clearscope-0515,case_or_attack_chain,45,45,1.0,0.0,0.6222,0.0
dev_measured_channel_x1.25,C09-darpa-optc-sysclient0201-0923,case_or_attack_chain,45,45,1.0,0.0,0.9333,0.0
dev_measured_channel_x1.25,C10-darpa-optc-sysclient0351-0925,case_or_attack_chain,45,45,1.0,0.0,0.8222,0.0
dev_measured_channel_x1.25,C11-otrf-apt29-day1-scranton-nashua,case_or_attack_chain,45,42,0.9333,0.0667,0.9333,0.0
dev_measured_channel_x1.25,C12-witfoo-precinct6-f10c7270,case_or_attack_chain,45,45,1.0,0.0,1.0,0.0
