family,variant,planner,case_id,independent_unit,has_outcome_difference,has_success_flip
AFA,x0.75,afa_voi_myopic,C09-darpa-optc-sysclient0201-0923,case_or_attack_chain,1,1
AFA,x0.75,afa_voi_myopic,C12-witfoo-precinct6-f10c7270,case_or_attack_chain,1,0
AFA,x0.75,afa_voi_rollout_h3,C07-darpa-e5-theia-0515,case_or_attack_chain,1,0
AFA,x0.75,afa_voi_rollout_h3,C08-darpa-e5-clearscope-0515,case_or_attack_chain,1,0
AFA,x0.75,afa_voi_rollout_h3,C09-darpa-optc-sysclient0201-0923,case_or_attack_chain,1,0
AFA,x0.75,afa_voi_rollout_h3,C11-otrf-apt29-day1-scranton-nashua,case_or_attack_chain,1,0
Depth2,x0.75,project05_depth2_public,C07-darpa-e5-theia-0515,case_or_attack_chain,1,0
Depth2,x0.75,project05_depth2_public,C08-darpa-e5-clearscope-0515,case_or_attack_chain,1,0
Depth2,x0.75,project05_depth2_public,C09-darpa-optc-sysclient0201-0923,case_or_attack_chain,1,0
Depth2,x0.75,project05_depth2_public,C10-darpa-optc-sysclient0351-0925,case_or_attack_chain,1,0
Depth2,x0.75,project05_depth2_public,C11-otrf-apt29-day1-scranton-nashua,case_or_attack_chain,1,1
